"","LABID","new.fname","Sample","well","plate"
"890","z0043487","z0043487_Mnov_GTseek_026_121_PLT_6_R2.fastq","GTseek_026_384i5_121_PLT_6_43487_R2.fastq","121","6"
"891","z0043488","z0043488_Mnov_GTseek_026_123_PLT_6_R1.fastq","GTseek_026_384i5_123_PLT_6_43488_R1.fastq","123","6"
"892","z0043488","z0043488_Mnov_GTseek_026_123_PLT_6_R2.fastq","GTseek_026_384i5_123_PLT_6_43488_R2.fastq","123","6"
"893","z0043489","z0043489_Mnov_GTseek_026_125_PLT_6_R1.fastq","GTseek_026_384i5_125_PLT_6_43489_R1.fastq","125","6"
"894","z0043489","z0043489_Mnov_GTseek_026_125_PLT_6_R2.fastq","GTseek_026_384i5_125_PLT_6_43489_R2.fastq","125","6"
"895","z0043491","z0043491_Mnov_GTseek_026_127_PLT_6_R1.fastq","GTseek_026_384i5_127_PLT_6_43491_R1.fastq","127","6"
"896","z0043491","z0043491_Mnov_GTseek_026_127_PLT_6_R2.fastq","GTseek_026_384i5_127_PLT_6_43491_R2.fastq","127","6"
"897","z0043493","z0043493_Mnov_GTseek_026_129_PLT_6_R1.fastq","GTseek_026_384i5_129_PLT_6_43493_R1.fastq","129","6"
"898","z0043493","z0043493_Mnov_GTseek_026_129_PLT_6_R2.fastq","GTseek_026_384i5_129_PLT_6_43493_R2.fastq","129","6"
"899","z0043494","z0043494_Mnov_GTseek_026_131_PLT_6_R1.fastq","GTseek_026_384i5_131_PLT_6_43494_R1.fastq","131","6"
"900","z0043494","z0043494_Mnov_GTseek_026_131_PLT_6_R2.fastq","GTseek_026_384i5_131_PLT_6_43494_R2.fastq","131","6"
"901","z0043498","z0043498_Mnov_GTseek_026_133_PLT_6_R1.fastq","GTseek_026_384i5_133_PLT_6_43498_R1.fastq","133","6"
"902","z0043498","z0043498_Mnov_GTseek_026_133_PLT_6_R2.fastq","GTseek_026_384i5_133_PLT_6_43498_R2.fastq","133","6"
"903","z0043504","z0043504_Mnov_GTseek_026_135_PLT_6_R1.fastq","GTseek_026_384i5_135_PLT_6_43504_R1.fastq","135","6"
"904","z0043504","z0043504_Mnov_GTseek_026_135_PLT_6_R2.fastq","GTseek_026_384i5_135_PLT_6_43504_R2.fastq","135","6"
"905","z0043513","z0043513_Mnov_GTseek_026_137_PLT_6_R1.fastq","GTseek_026_384i5_137_PLT_6_43513_R1.fastq","137","6"
"906","z0043513","z0043513_Mnov_GTseek_026_137_PLT_6_R2.fastq","GTseek_026_384i5_137_PLT_6_43513_R2.fastq","137","6"
"907","z0043526","z0043526_Mnov_GTseek_026_139_PLT_6_R1.fastq","GTseek_026_384i5_139_PLT_6_43526_R1.fastq","139","6"
"908","z0043526","z0043526_Mnov_GTseek_026_139_PLT_6_R2.fastq","GTseek_026_384i5_139_PLT_6_43526_R2.fastq","139","6"
"909","z0043566","z0043566_Mnov_GTseek_026_141_PLT_6_R1.fastq","GTseek_026_384i5_141_PLT_6_43566_R1.fastq","141","6"
"910","z0043566","z0043566_Mnov_GTseek_026_141_PLT_6_R2.fastq","GTseek_026_384i5_141_PLT_6_43566_R2.fastq","141","6"
"911","z0043572","z0043572_Mnov_GTseek_026_143_PLT_6_R1.fastq","GTseek_026_384i5_143_PLT_6_43572_R1.fastq","143","6"
"912","z0043572","z0043572_Mnov_GTseek_026_143_PLT_6_R2.fastq","GTseek_026_384i5_143_PLT_6_43572_R2.fastq","143","6"
"913","z0043599","z0043599_Mnov_GTseek_026_145_PLT_6_R1.fastq","GTseek_026_384i5_145_PLT_6_43599_R1.fastq","145","6"
"914","z0043599","z0043599_Mnov_GTseek_026_145_PLT_6_R2.fastq","GTseek_026_384i5_145_PLT_6_43599_R2.fastq","145","6"
"915","z0043631","z0043631_Mnov_GTseek_026_147_PLT_6_R1.fastq","GTseek_026_384i5_147_PLT_6_43631_R1.fastq","147","6"
"916","z0043631","z0043631_Mnov_GTseek_026_147_PLT_6_R2.fastq","GTseek_026_384i5_147_PLT_6_43631_R2.fastq","147","6"
"917","z0043640","z0043640_Mnov_GTseek_026_149_PLT_6_R1.fastq","GTseek_026_384i5_149_PLT_6_43640_R1.fastq","149","6"
"918","z0043640","z0043640_Mnov_GTseek_026_149_PLT_6_R2.fastq","GTseek_026_384i5_149_PLT_6_43640_R2.fastq","149","6"
"919","z0043642","z0043642_Mnov_GTseek_026_151_PLT_6_R1.fastq","GTseek_026_384i5_151_PLT_6_43642_R1.fastq","151","6"
"920","z0043642","z0043642_Mnov_GTseek_026_151_PLT_6_R2.fastq","GTseek_026_384i5_151_PLT_6_43642_R2.fastq","151","6"
"921","z0043649","z0043649_Mnov_GTseek_026_153_PLT_6_R1.fastq","GTseek_026_384i5_153_PLT_6_43649_R1.fastq","153","6"
"922","z0043649","z0043649_Mnov_GTseek_026_153_PLT_6_R2.fastq","GTseek_026_384i5_153_PLT_6_43649_R2.fastq","153","6"
