Sample,Reverse reads with adapter,Total reads for sample,run.name,Proportion with adapter
z0056389_GTseek_030_384i5_283_Mnov_F06_R1.fastq.gz,11260,67135,Val,0.167721755
z0055997_GTseek_030_384i5_277_Mnov_C06_R1.fastq.gz,13986,82988,Val,0.16853039
z0055998_GTseek_030_384i5_279_Mnov_D06_R1.fastq.gz,12457,73903,Val,0.168558787
z0195655_GTseek_030_384i5_309_Mnov_C08_R1.fastq.gz,11740,69529,Val,0.168850408
z0053133_GTseek_030_384i5_261_Mnov_C05_R1.fastq.gz,14257,84335,Val,0.169051995
z0195767_GTseek_030_384i5_329_Mnov_E09_R1.fastq.gz,11553,67775,Val,0.170461084
z0195663_GTseek_030_384i5_311_Mnov_D08_R1.fastq.gz,12874,75439,Val,0.170654436
z0043496_GTseek_030_384i5_213_Mnov_C02_R1.fastq.gz,12604,72731,Val,0.173296119
z0041051_GTseek_030_384i5_211_Mnov_B02_R1.fastq.gz,12407,71503,Val,0.173517195
z0053096_GTseek_030_384i5_249_Mnov_E04_R1.fastq.gz,12385,71354,Val,0.173571208
z0053090_GTseek_030_384i5_247_Mnov_D04_R1.fastq.gz,11924,68664,Val,0.173657229
z0040334_GTseek_030_384i5_199_Mnov_D01_R1.fastq.gz,13824,79083,Val,0.174803687
z0063275_GTseek_030_384i5_291_Mnov_B07_R1.fastq.gz,10300,58227,Val,0.176893881
z0053760_GTseek_030_384i5_269_Mnov_G05_R1.fastq.gz,11983,65636,Val,0.182567493
z0063342_GTseek_030_384i5_295_Mnov_D07_R1.fastq.gz,12922,69243,Val,0.186618142
z0053020_GTseek_030_384i5_229_Mnov_C03_R1.fastq.gz,12735,68110,Val,0.186976949
z0043765_GTseek_030_384i5_215_Mnov_D02_R1.fastq.gz,11627,61374,Val,0.189445042
z0053149_GTseek_030_384i5_267_Mnov_F05_R1.fastq.gz,12298,63673,Val,0.19314309
z0053082_GTseek_030_384i5_243_Mnov_B04_R1.fastq.gz,13456,69064,Val,0.194833777
z0040363_GTseek_030_384i5_203_Mnov_F01_R1.fastq.gz,15622,78104,Val,0.200015364
z0195691_GTseek_030_384i5_317_Mnov_G08_R1.fastq.gz,14395,71510,Val,0.201300517
z0195649_GTseek_030_384i5_305_Mnov_A08_R1.fastq.gz,12099,59144,Val,0.204568511
z0195652_GTseek_030_384i5_307_Mnov_B08_R1.fastq.gz,13889,64212,Val,0.216299134
