LABID,Raw.Reads,On.Target.Reads,dupe,success,,,,,
195644,24256,2943,2,FALSE,,,,,
195777,26707,2965,1,FALSE,,,,,
40957,17832,3033,1,FALSE,,,,,
196859,19514,3212,1,FALSE,,,,,
195674,164616,3242,2,FALSE,,,,,
187860,21042,3336,1,FALSE,,,,,
56389,67135,3395,1,FALSE,,,,,
75696,71748,3399,1,FALSE,,,,,
196822,45776,3435,1,FALSE,,,,,
53096,71354,3630,1,FALSE,,,,,
53102,53550,3705,1,FALSE,,,,,
63275,58227,3803,1,FALSE,,,,,
63269,48349,3871,1,FALSE,,,,,
196750,39254,3940,1,FALSE,,,,,
55948,91122,3983,1,FALSE,,,,,
196778,40246,4077,1,FALSE,,,,,
49019,69481,4104,1,FALSE,,,,,
196708,43368,4110,1,FALSE,,,,,
53101,61300,4113,1,FALSE,,,,,
9880,25711,4168,1,FALSE,,,,,
53020,68110,4174,1,FALSE,,,,,
45781,92805,4182,1,FALSE,,,,,
41521,29752,4248,1,FALSE,,,,,
47562,62173,4257,1,FALSE,,,,,
44042,43335,4264,2,FALSE,,,,,
63328,47673,4282,1,FALSE,,,,,
196764,67296,4309,1,FALSE,,,,,
196691,11687,4310,1,FALSE,,,,,
56034,71036,4432,1,FALSE,,,,,
53031,70531,4466,1,FALSE,,,,,
53100,67885,4478,1,FALSE,,,,,
53024,61509,4584,1,FALSE,,,,,
43496,72731,4680,1,FALSE,,,,,
195743,27684,4704,1,FALSE,,,,,
195751,96381,4871,1,FALSE,,,,,
196863,29900,4924,1,FALSE,,,,,
66792,63830,5010,1,FALSE,,,,,
53025,73616,5029,1,FALSE,,,,,
195762,55263,5079,1,FALSE,,,,,
41051,71503,5107,1,FALSE,,,,,
196769,64129,5216,1,FALSE,,,,,
55936,43270,5298,1,FALSE,,,,,
196864,57007,5343,1,FALSE,,,,,
53090,68664,5364,1,FALSE,,,,,
55998,73903,5415,1,FALSE,,,,,
55957,69687,5506,1,FALSE,,,,,
175950,49624,5550,1,FALSE,,,,,
196731,23548,5561,1,FALSE,,,,,
187911,49550,5609,1,FALSE,,,,,
55996,71981,5693,1,FALSE,,,,,
196781,27507,5699,1,FALSE,,,,,
66805,80138,5720,1,FALSE,,,,,
195770,42494,5786,2,FALSE,,,,,
56064,238416,5817,1,FALSE,,,,,
56065,278467,5817,1,FALSE,,,,,
195663,75439,5951,1,FALSE,,,,,
195655,69529,5955,1,FALSE,,,,,
195712,15230,5991,1,FALSE,,,,,
41480,15573,6032,1,FALSE,,,,,
196775,83742,6105,1,FALSE,,,,,
196828,71852,6180,1,FALSE,,,,,
53103,78512,6264,1,FALSE,,,,,
196763,62359,6325,1,FALSE,,,,,
195767,67775,6367,1,FALSE,,,,,
53040,77510,6375,1,FALSE,,,,,
43478,55967,6461,1,FALSE,,,,,
195704,81085,6494,1,FALSE,,,,,
196805,27394,6518,1,FALSE,,,,,
55997,82988,6531,1,FALSE,,,,,
43966,82929,6699,1,FALSE,,,,,
53131,73757,6773,1,FALSE,,,,,
195778,51557,6804,1,FALSE,,,,,
45347,13426,6883,1,FALSE,,,,,
196761,82017,6896,1,FALSE,,,,,
195726,67743,6982,1,FALSE,,,,,
196806,29985,6993,1,FALSE,,,,,
63273,74408,6995,1,FALSE,,,,,
29860,21002,6996,1,FALSE,,,,,
43668,24754,7139,1,FALSE,,,,,
53844,28372,7187,1,FALSE,,,,,
56056,50393,7240,1,FALSE,,,,,
195731,32136,7276,1,FALSE,,,,,
196740,82415,7387,1,FALSE,,,,,
56069,59649,7389,1,FALSE,,,,,
41274,41400,7497,2,FALSE,,,,,
40387,22004,7572,1,FALSE,,,,,
53111,59710,7574,1,FALSE,,,,,
41507,46941,7578,1,FALSE,,,,,
100814,72968,7656,1,FALSE,,,,,
196729,65658,7888,1,FALSE,,,,,
195683,77872,7889,1,FALSE,,,,,
196767,42020,7912,1,FALSE,,,,,
43819,27778,8048,1,FALSE,,,,,
195688,72933,8134,1,FALSE,,,,,
196751,30273,8139,1,FALSE,,,,,
55909,54039,8263,1,FALSE,,,,,
196725,35573,8426,1,FALSE,,,,,
45740,150674,8465,1,FALSE,,,,,
195742,63115,8499,1,FALSE,,,,,
145401,48925,8558,1,FALSE,,,,,
44017,66492,8587,1,FALSE,,,,,
45337,19402,8607,1,FALSE,,,,,
195784,75228,8646,1,FALSE,,,,,
196835,37713,8848,1,FALSE,,,,,
195702,28313,8859,1,FALSE,,,,,
41233,21862,8863,1,FALSE,,,,,
196774,75749,8868,1,FALSE,,,,,
196747,202824,8898,1,FALSE,,,,,
196862,49826,8952,1,FALSE,,,,,
196758,44522,8963,1,FALSE,,,,,
40334,79083,9017,1,FALSE,,,,,
195693,22788,9029,1,FALSE,,,,,
196810,73233,9050,1,FALSE,,,,,
53846,56101,9074,1,FALSE,,,,,
196746,90282,9134,1,FALSE,,,,,
53138,69518,9182,1,FALSE,,,,,
196715,87919,9458,1,FALSE,,,,,
196770,74593,9461,2,FALSE,,,,,
196719,83879,9707,1,FALSE,,,,,
56073,29568,9732,2,FALSE,,,,,
196846,18566,9807,1,FALSE,,,,,
196724,53889,9831,1,FALSE,,,,,
195701,74406,9908,1,FALSE,,,,,
29863,39081,10004,1,FALSE,,,,,
196833,39267,10039,1,FALSE,,,,,
40439,76668,10089,1,FALSE,,,,,
196723,39325,10229,1,FALSE,,,,,
196762,50726,10257,1,FALSE,,,,,
195782,65390,10310,1,FALSE,,,,,
196726,44966,10367,1,FALSE,,,,,
196823,61162,10401,1,FALSE,,,,,
196773,57377,10474,1,FALSE,,,,,
196777,48778,10484,1,FALSE,,,,,
195748,71069,10504,1,FALSE,,,,,
175378,42056,10566,1,FALSE,,,,,
56337,63374,10595,1,FALSE,,,,,
196742,27580,10646,1,FALSE,,,,,
196839,18384,10681,1,FALSE,,,,,
40308,33612,10750,1,FALSE,,,,,
196848,54649,10870,1,FALSE,,,,,
45720,128151,10923,1,FALSE,,,,,
53083,79020,10953,1,FALSE,,,,,
196733,75485,11013,1,FALSE,,,,,
61969,102986,11061,1,FALSE,,,,,
196718,67917,11101,1,FALSE,,,,,
196687,146199,11177,1,FALSE,,,,,
41243,40726,11191,1,FALSE,,,,,
196834,80606,11233,1,FALSE,,,,,
196783,82822,11249,1,FALSE,,,,,
108480,56472,11256,1,FALSE,,,,,
196734,83818,11361,1,FALSE,,,,,
195717,88135,11416,1,FALSE,,,,,
196824,61930,11438,1,FALSE,,,,,
45733,101430,11475,1,FALSE,,,,,
43566,35970,11513,1,FALSE,,,,,
196730,83356,11543,1,FALSE,,,,,
56095,268300,11543,2,FALSE,,,,,
45776,71917,11559,1,FALSE,,,,,
196772,59994,11636,1,FALSE,,,,,
196843,85343,11787,1,FALSE,,,,,
196737,29565,11918,1,FALSE,,,,,
51840,86052,12000,1,FALSE,,,,,
53142,84163,12003,1,FALSE,,,,,
196838,82478,12210,1,FALSE,,,,,
196849,73301,12236,1,FALSE,,,,,
56386,41122,12312,1,FALSE,,,,,
196826,34066,12359,1,FALSE,,,,,
40413,28921,12365,1,FALSE,,,,,
45352,20992,12531,1,FALSE,,,,,
196800,46878,12756,1,FALSE,,,,,
196756,44032,12782,1,FALSE,,,,,
196865,35690,12834,1,FALSE,,,,,
37624,157329,12997,1,FALSE,,,,,
195730,99516,13068,1,FALSE,,,,,
53758,512273,13177,1,FALSE,,,,,
195709,28631,13291,1,FALSE,,,,,
196854,58962,13310,1,FALSE,,,,,
196809,217843,13408,2,FALSE,,,,,
195728,71303,13475,1,FALSE,,,,,
196755,119750,13914,1,FALSE,,,,,
41501,55817,13967,1,FALSE,,,,,
40333,87860,13986,1,FALSE,,,,,
40364,90333,14007,1,FALSE,,,,,
40985,85271,14017,1,FALSE,,,,,
53842,92402,14118,1,FALSE,,,,,
196749,124452,14125,1,FALSE,,,,,
196754,87863,14125,1,FALSE,,,,,
196709,180314,14156,2,FALSE,,,,,
53071,75610,14229,1,FALSE,,,,,
196738,42283,14394,1,FALSE,,,,,
196811,35920,14455,1,FALSE,,,,,
196851,42758,15023,1,FALSE,,,,,
45371,21593,15034,1,FALSE,,,,,
41250,74243,15514,2,FALSE,,,,,
44023,88573,15593,1,FALSE,,,,,
43642,92805,15717,2,FALSE,,,,,
196794,88198,15721,1,FALSE,,,,,
195739,76838,15733,1,FALSE,,,,,
196886,29905,16019,1,FALSE,,,,,
195727,101031,16037,1,FALSE,,,,,
195755,29803,16101,1,FALSE,,,,,
40345,97215,16133,1,FALSE,,,,,
196829,45391,16460,1,FALSE,,,,,
51431,78389,16557,1,FALSE,,,,,
196768,135444,16662,1,FALSE,,,,,
45719,96130,16902,2,FALSE,,,,,
195714,69803,17043,1,FALSE,,,,,
196766,46814,17151,1,FALSE,,,,,
195722,90579,17314,1,FALSE,,,,,
195736,49791,17431,1,FALSE,,,,,
196757,37343,17541,1,FALSE,,,,,147
196760,45780,17864,1,FALSE,,,,,
51380,110144,17906,2,FALSE,,,,,
12702,96189,18184,1,FALSE,,,,,
196795,41473,18200,1,FALSE,,,,,
196891,48747,18208,1,FALSE,,,,,
53847,84883,18228,1,FALSE,,,,,
195737,45165,18261,1,FALSE,,,,,
197662,98651,18318,1,FALSE,,,,,
195710,36154,18452,1,FALSE,,,,,
196857,98370,18601,1,FALSE,,,,,
195773,37567,18608,1,FALSE,,,,,
196852,93656,18685,1,FALSE,,,,,
41465,60068,18749,1,FALSE,,,,,
196842,93483,19104,1,FALSE,,,,,
195711,42434,19146,1,FALSE,,,,,
195732,81022,19167,1,FALSE,,,,,
196847,56230,19215,1,FALSE,,,,,
195729,46381,19269,1,FALSE,,,,,
56085,203856,19391,1,FALSE,,,,,
45357,48363,19425,1,FALSE,,,,,
196714,93923,19448,1,FALSE,,,,,
196693,39791,19900,1,FALSE,,,,,
