,LABID,Sample,Raw.Reads,On.Target.Reads,Pct.On.Target,Pct.GT,IFI,new.fnames
583,195725,GTseek_024_384i5_227_PLT_4_195725,48076,20044,41.69,73.96,0.57,z0195725_Mnov_GTseek_024_227_PLT_4.fastq
524,40357,GTseek_026_384i5_045_PLT_6_40357,39878,20218,50.7,66.67,0.6,z0040357_Mnov_GTseek_026_045_PLT_6.fastq
561,196792,GTseek_025_384i5_269_PLT_5_196792,49249,20225,41.07,71.35,0.73,z0196792_Mnov_GTseek_025_269_PLT_5.fastq
590,45326,GTseek_022_384i5_144_PLT_2_45326,148239,20310,13.7,74.74,0.58,z0045326_Mnov_GTseek_022_144_PLT_2.fastq
610,195720,GTseek_024_384i5_219_PLT_4_195720,45069,20354,45.16,76.56,0.89,z0195720_Mnov_GTseek_024_219_PLT_4.fastq
538,29833,GTseek_022_384i5_140_PLT_2_29833,437958,20741,4.74,68.75,0.42,z0029833_Mnov_GTseek_022_140_PLT_2.fastq
677,107080,GTseek_029_384i5_175_PLT_9_107080,84963,20778,24.46,83.07,0.49,z0107080_Mnov_GTseek_029_175_PLT_9.fastq
576,41494,GTseek_026_384i5_181_PLT_6_41494,63247,20813,32.91,72.66,1.15,z0041494_Mnov_GTseek_026_181_PLT_6.fastq
654,196727,GTseek_024_384i5_383_PLT_4_196727,63934,20846,32.61,80.73,0.55,z0196727_Mnov_GTseek_024_383_PLT_4.fastq
565,196845,GTseek_025_384i5_379_PLT_5_196845,39296,21182,53.9,71.88,0.6,z0196845_Mnov_GTseek_025_379_PLT_5.fastq
661,196739,GTseek_025_384i5_203_PLT_5_196739,49476,21202,42.85,81.51,0.53,z0196739_Mnov_GTseek_025_203_PLT_5.fastq
599,195697,GTseek_023_384i5_162_PLT_3_195697,104275,21261,20.39,75.52,1.15,z0195697_Mnov_GTseek_023_162_PLT_3.fastq
629,196844,GTseek_025_384i5_319_PLT_5_196844,36538,21505,58.86,78.39,0.71,z0196844_Mnov_GTseek_025_319_PLT_5.fastq
543,197664,GTseek_026_384i5_015_PLT_6_197664,37593,21526,57.26,69.27,0.65,z0197664_Mnov_GTseek_026_015_PLT_6.fastq
594,62886,GTseek_028_384i5_155_PLT_8_62886,115283,21608,18.74,74.74,0.21,z0062886_Mnov_GTseek_028_155_PLT_8.fastq
552,196736,GTseek_025_384i5_197_PLT_5_196736,44375,21667,48.83,70.83,0.46,z0196736_Mnov_GTseek_025_197_PLT_5.fastq
634,195738,GTseek_024_384i5_251_PLT_4_195738,52215,21723,41.6,78.65,0.63,z0195738_Mnov_GTseek_024_251_PLT_4.fastq
601,196713,GTseek_024_384i5_339_PLT_4_196713,63340,22019,34.76,76.04,0.66,z0196713_Mnov_GTseek_024_339_PLT_4.fastq
603,196812,GTseek_025_384i5_287_PLT_5_196812,49944,22479,45.01,76.04,0.54,z0196812_Mnov_GTseek_025_287_PLT_5.fastq
662,196744,GTseek_025_384i5_211_PLT_5_196744,106313,22834,21.48,81.51,0.25,z0196744_Mnov_GTseek_025_211_PLT_5.fastq
701,196711,GTseek_024_384i5_381_PLT_4_196711,98946,22957,23.2,88.8,0.78,z0196711_Mnov_GTseek_024_381_PLT_4.fastq
513,41527,GTseek_026_384i5_101_PLT_6_41527,74985,23234,30.98,65.36,0.73,z0041527_Mnov_GTseek_026_101_PLT_6.fastq
612,196694,GTseek_023_384i5_070_PLT_3_196694,41987,23343,55.6,76.82,0.54,z0196694_Mnov_GTseek_023_070_PLT_3.fastq
577,40287,GTseek_026_384i5_043_PLT_6_40287,50219,23504,46.8,72.92,0.8,z0040287_Mnov_GTseek_026_043_PLT_6.fastq
695,56062,GTseek_029_384i5_123_PLT_9_56062,72455,23916,33.01,86.72,0.52,z0056062_Mnov_GTseek_029_123_PLT_9.fastq
630,196861,GTseek_025_384i5_341_PLT_5_196861,82616,23958,29,78.39,0.52,z0196861_Mnov_GTseek_025_341_PLT_5.fastq
676,195733,GTseek_024_384i5_241_PLT_4_195733,64680,23987,37.09,83.07,0.63,z0195733_Mnov_GTseek_024_241_PLT_4.fastq
632,56394,GTseek_023_384i5_020_PLT_3_56394,79203,24050,30.37,78.65,1.27,z0056394_Mnov_GTseek_023_020_PLT_3.fastq
596,195708,GTseek_024_384i5_363_PLT_4_195708,62511,24369,38.98,75,0.61,z0195708_Mnov_GTseek_024_363_PLT_4.fastq
622,195687,GTseek_023_384i5_148_PLT_3_195687,55104,24393,44.27,77.86,0.4,z0195687_Mnov_GTseek_023_148_PLT_3.fastq
664,196792,GTseek_025_384i5_371_PLT_5_196792,50142,24526,48.91,81.77,0.76,z0196792_Mnov_GTseek_025_371_PLT_5.fastq
660,55963,GTseek_029_384i5_087_PLT_9_55963,86832,24805,28.57,81.25,0.66,z0055963_Mnov_GTseek_029_087_PLT_9.fastq
